objective,task_no,responsible,involved,time,funding,priority_area,source_page
4,5,MINCIENCIA,GORE MAGALLANES,2026-2030,Por determinar,3 y 4,15
4,6,GORE MAGALLANES,Consejo Asesor en Temas Antárticos del Gobierno Regional de Magallanes y la Antártica Chilena,2026-2030,No requiere,5,15
4,7,INACH,MINREL - DIVANTARTICA,2026-2030,Ley de Presupuesto del Sector Público,3,15
4,8,INACH,MINCIENCIA - MINREL - DIVANTARTICA,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,3,16
4,9,INACH,MINREL - DIVANTARTICA,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,2 y 3,16
4,10,MINDEF (EJÉRCITO),INACH - IGM -DIFROL,2026-2030,Presupuesto IGM CAP. XIX,3,16
4,11,MINDEF (FACH),FACH,2026 -2030,Ley de Presupuesto del Sector Público,1,16
4,12,INACH,,2026-2030,Por determinar,3,16
4,13,INACH,,2026-2030,Por determinar,1,16
4,14,INACH,,2026-2030,Por determinar,1 y 3,16
4,15,MINDEF (ARMADA),EMCO - MINREL - ARMADA - CONA,2026-2030,Ley de Presupuesto del Sector Público,1 y 3,16
4,16,MINDEF (ARMADA),MINREL - DIVANTARTICA - MINDEF - INACH - MINCIENCIA,2026-2030,Ley de Presupuesto del Sector Público,1,16
4,17,MINDEF (EMCO),MINREL - DIVANTARTICA - INACH - EJÉRCITO - ARMADA -FACH,2026-2030,Ley de Presupuesto del Sector Público,1,16
5,1,SUBTEL,GORE MAGALLANES,2025-2026,CAF,1 y 5,17
5,2,SUBTEL,GORE MAGALLANES - MINCIENCIA,ene-26,CAF,1 y 5,17
5,3,SUBTEL - MINREL - DIVANTARTICA - DIPRES - MINDEF - ARMADA - INACH - DIRECTEMAR - SHOA - SERNAPESCA - GORE MAGALLANES,,2026,No requiere,3 y 5,17
5,4,SUBTEL,GORE MAGALLANES,2026,Por determinar,3 y 5,18
5,5,SUBTEL,,2026,Por determinar,5,18
5,6,SUBTEL,GORE MAGALLANES,2026,Por determinar,5,18
5,7,SUBTEL,,2026,Por determinar,1,19
5,8,SUBTEL,,2027,Por determinar,1,19
5,9,MMA Servicio de Evaluación Ambiental - Servicio de Biodiversidad y Áreas Protegidas - SEREMI MMA Magallanes,,2027,Por determinar,4,19
5,10,SUBTEL - Bienes Nacionales,,2027,Por determinar,1,19
5,11,SUBTEL,,2027,Por determinar,5,19
5,12,MMA Servicio de Evaluación Ambiental - Servicio de Biodiversidad y Áreas Protegidas - SEREMI MMA Magallanes,,2028,Por determinar,4,20
5,13,SUBTEL,,2028,Por determinar,5,20
5,14,SUBTEL,,2028,Por determinar,"1, 2 y 5",20
5,15,SUBTEL,,2029,Por determinar,"1, 2 y 5",20
5,16,SUBTEL,,2029,Por determinar,1 y 5,20
5,17,SUBTEL,,2029,Por determinar,5,21
5,18,SUBTEL - MINREL - DIVANTARTICA,,2030,Por determinar,"1, 2 y 5",21
5,19,INACH,GORE MAGALLANES - MINCIENCIA,2026 - 2030,GORE MAGALLANES,3 y 5,21
5,20,GORE MAGALLANES,SEREMI MMA - OPERADORES ANTARTICOS - INACH,2026 - 2030,Por determinar,1 y 4,21
5,21,MINCIENCIA,,2026-2030,Por determinar,3,21
6,1,SUBPESCA - MINREL - DIVANTARTICA,INACH,2026 - 2030,Presupuesto Institucional vía Ley de Presupuesto,2,22
6,2,SUBPESCA - MINREL - DIVANTARTICA,GORE MAGALLANES - INACH,2026 - 2030,No requiere,1 y 3,22
6,3,SUBPESCA - MINREL - DIVANTARTICA,,2026 - 2030,No requiere,2,22
6,4,SUBPESCA,,2026 - 2030,Por determinar,2,22
